run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
4067,extrae,10000,250,8,1.567043,1.035600,16000
4068,scorep,10000,500,15,1.620164,1.088073,4000
4069,scorep,10000,2000,5,1.942548,1.413038,250
407,scorep,10000,250,4,2.196770,1.662438,16000
4070,tikki,10000,2000,15,1.697892,1.164703,250
4071,empty,10000,2000,7,1.688445,1.151996,250
4072,tikki,10000,500,3,2.730236,2.197392,4000
4073,printf,10000,2000,9,1.663016,1.124964,250
4074,tikki,10000,1000,5,1.923529,1.389441,1000
4075,scorep,10000,250,9,1.535385,0.999947,16000
4076,tikki,10000,1000,6,1.724775,1.191964,1000
4077,void,10000,1000,14,1.607301,1.072159,1000
4078,printf,10000,2000,10,1.687376,1.155229,250
4079,scorep,10000,1000,15,1.604621,1.072255,1000
408,tikki,10000,1000,5,1.886833,1.355486,1000
4080,extrae,10000,1000,16,1.654687,1.121848,1000
4081,printf,10000,1000,11,1.583013,1.046315,1000
4082,scorep,10000,250,8,1.538098,1.007611,16000
4083,void,10000,2000,8,1.647859,1.113222,250
4084,void,10000,1000,5,1.866207,1.332270,1000
4085,printf,10000,1000,15,1.585767,1.050532,1000
4086,tikki,10000,2000,13,1.660202,1.125231,250
4087,tikki,10000,1000,14,1.642841,1.107795,1000
4088,tikki,10000,500,12,1.646278,1.111625,4000
4089,extrae,10000,2000,8,1.704614,1.168493,250
409,tikki,10000,500,16,1.649415,1.118516,4000
4090,oot,10000,250,8,1.524667,0.991048,16000
4091,oot,10000,500,12,1.596244,1.057699,4000
4092,empty,10000,1000,15,1.601073,1.065611,1000
4093,tikki,10000,250,1,7.794000,7.260262,16000
4094,tikki,10000,2000,11,1.680695,1.145938,250
4095,tikki,10000,500,4,2.177463,1.643665,4000
