State, th3, TASK, 0.091103, 0.091500, 0.000397, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.091502, 0.091885, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.091887, 0.092270, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.092273, 0.092657, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.092659, 0.093069, 0.000410, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.093071, 0.093463, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.093465, 0.093848, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.093850, 0.094234, 0.000384, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.094238, 0.094622, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.094626, 0.095017, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.095020, 0.095409, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.095411, 0.095623, 0.000212, 0.000000, lapack_dlarfb
State, th3, TASK, 0.095625, 0.095837, 0.000212, 0.000000, lapack_dlarfb
State, th3, TASK, 0.095841, 0.096051, 0.000211, 0.000000, lapack_dlarfb
State, th3, TASK, 0.096053, 0.096264, 0.000211, 0.000000, lapack_dlarfb
State, th3, TASK, 0.096266, 0.096531, 0.000265, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.096540, 0.096951, 0.000411, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.096953, 0.097157, 0.000204, 0.000000, lapack_dgeqrt
State, th3, TASK, 0.097163, 0.097540, 0.000377, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.097543, 0.097755, 0.000212, 0.000000, lapack_dlarfb
State, th3, TASK, 0.097757, 0.098133, 0.000376, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.098135, 0.098346, 0.000211, 0.000000, lapack_dlarfb
State, th3, TASK, 0.098348, 0.098724, 0.000376, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.098727, 0.099116, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.099117, 0.099330, 0.000213, 0.000000, lapack_dlarfb
State, th3, TASK, 0.099333, 0.099713, 0.000380, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.099715, 0.100104, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.100107, 0.100499, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.100502, 0.100716, 0.000215, 0.000000, lapack_dlarfb
State, th3, TASK, 0.100718, 0.101125, 0.000407, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.101128, 0.101517, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.101520, 0.101902, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.101904, 0.102297, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.102298, 0.102513, 0.000215, 0.000000, lapack_dlarfb
State, th3, TASK, 0.102515, 0.102788, 0.000273, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.102795, 0.103185, 0.000390, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.103186, 0.103579, 0.000393, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.103581, 0.103964, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.103966, 0.104351, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.104353, 0.104744, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.104746, 0.105145, 0.000399, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.105148, 0.105530, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.105533, 0.105917, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.105920, 0.106185, 0.000265, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.106190, 0.106580, 0.000390, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.106583, 0.106843, 0.000259, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.106849, 0.107246, 0.000397, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.107248, 0.107640, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.107643, 0.107981, 0.000338, 0.000000, lapack_dtpqrt
