State, th9, TASK, 0.227067, 0.227825, 0.000758, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.227829, 0.228586, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.228589, 0.229343, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.229347, 0.230104, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.230108, 0.230864, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.230867, 0.231629, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.231633, 0.232386, 0.000753, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.232389, 0.233142, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.233145, 0.233909, 0.000764, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.233913, 0.234676, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.235522, 0.236331, 0.000810, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.236335, 0.237127, 0.000792, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.237131, 0.237910, 0.000779, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.237914, 0.238688, 0.000774, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.238692, 0.239470, 0.000778, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.239473, 0.240249, 0.000775, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.240252, 0.241038, 0.000786, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.241042, 0.241818, 0.000777, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.241822, 0.242589, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.242592, 0.243368, 0.000776, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.243372, 0.244150, 0.000778, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.244153, 0.244934, 0.000781, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.244938, 0.245722, 0.000784, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.245725, 0.246503, 0.000778, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.246506, 0.247285, 0.000779, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.247289, 0.248063, 0.000774, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.248066, 0.248834, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.248837, 0.249611, 0.000773, 0.000000, lapack_dtpmqrt
