timestamp,index,name,driver_version,utilization.gpu[],memory.total[],memory.used[],power.draw[],temperature.gpu,clocks.current.graphics[],clocks.current.sm[],clocks.current.memory[]
2025/10/0509:19:54.699,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.28,27,2580,2580,10251
2025/10/0509:19:54.749,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.28,27,2580,2580,10251
2025/10/0509:19:54.799,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.18,27,2580,2580,10251
2025/10/0509:19:54.850,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.18,27,2580,2580,10251
2025/10/0509:19:54.900,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.10,27,2580,2580,10251
2025/10/0509:19:54.950,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.10,27,2580,2580,10251
2025/10/0509:19:55.000,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.06,27,2580,2580,10251
2025/10/0509:19:55.051,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.06,27,2580,2580,10251
2025/10/0509:19:55.101,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.05,27,2580,2580,10251
2025/10/0509:19:55.151,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.05,27,2580,2580,10251
2025/10/0509:19:55.201,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:55.251,0,NVIDIAGeForceRTX4090,545.23.08,1,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:55.302,0,NVIDIAGeForceRTX4090,545.23.08,1,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:55.352,0,NVIDIAGeForceRTX4090,545.23.08,1,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:55.402,0,NVIDIAGeForceRTX4090,545.23.08,1,24564,22736,58.08,27,2580,2580,10251
2025/10/0509:19:55.452,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.08,27,2580,2580,10251
2025/10/0509:19:55.502,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.11,27,2580,2580,10251
